"College_code","Dept","1G","1K","1R","2AG","2AK","2AR","2BG","2BK","2BR","3AG","3AK","3AR","3BG","3BK","3BR","GM","GMK","GMR","SCG","SCK","SCR","STG","STK","STR"
"E177","EC","--","--","--","116779","--","124119","75675","--","--","81678","--","--","75391","--","--","67254","--","96806","127257","--","155139","180221","--","--"
"E177","EE","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","162664","--","--","--","--","--","--","--","--"
"E177","IS","98517","--","--","83357","--","99401","119200","--","--","67693","--","--","78045","101351","--","65790","--","84424","135406","--","--","--","--","--"
"E177","ME","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"E178","CS","20934","--","--","33484","--","48389","29266","--","--","22460","--","--","21450","--","--","19678","25788","34350","45949","--","57465","--","--","--"
"E178","EC","74297","--","77873","52199","--","--","50526","--","--","48184","--","86363","44225","--","--","43609","76975","67219","66658","--","--","88200","--","--"
"E178","EE","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","178383","--","--","--","--","--","--","--","--"
"E178","IS","39414","--","--","46140","66691","72604","43719","--","--","29488","--","39710","--","--","35829","28984","--","34731","67986","--","--","43148","--","--"
"E178","ME","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","119627","--","--","--","--","--","--","--","--"
"E180","CV","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"E180","CS","--","--","--","165092","--","--","138286","--","--","--","--","--","154826","--","--","126009","--","130903","--","--","--","--","--","--"
"E180","EC","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","171707","--","--","--","--","--","--","--","--"
"E180","ME","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"E183","AE","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"E183","CV","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"E183","CS","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","181611","--","--","--","--","--","--","--","--"
"E183","EC","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"E183","ME","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
