College_code,Dept,1G,2AG,2AR,2BG,3AG,3AR,3BG,GM,GMK,GMR,SCG,SCR,STG,STR,1R,2AK,2BR,3BR,SCK,3BK,2BK,STK,1K,3AK
E015,CA,,120868.36,,,,,132191.02,108167.84,,122897.92,137301.96,,163606.18,,,,,,,,,,,
E016,AD,25100.05,14071.28,21086.18,15337.28,13584.13,,11934.97,11636.06,19813.56,13275.67,34636.43,71714.96,,,,,,,,,,,,
E016,BT,,81088.52,,,,,,59054.47,,93493.99,131196.81,,119062.28,,,,,,,,,,,
E016,CV,,168181.5,,149268.56,,,120646.84,122324.76,98157.96,165746.7,150434.36,,,,,,,,,,,,,
E016,CH,,122702.46,,110826.4,113755.38,,137803.18,125623.46,,,193644.52,,,,,,,,,,,,,
E016,CS,7692.15,9226.4,10764.56,12293.73,7337.46,,7013.41,6169.32,8308.15,7454.25,25183.96,34113.43,17366.72,,,9829.48,,9356.95,26362.82,,,,,
E016,EC,17451.3,19014.18,24184.89,20833.77,14128.14,,15148.63,13338.52,14506.98,15401.71,44788.61,61192.26,37189.19,,,33722.86,,19687.16,,,,,,
E016,EE,36490.4,37189.66,42976.52,54257.14,27376.63,,31764.96,23680.04,,29517.25,63542.42,128708.66,63083.44,,,,,,,,,,,
E016,EI,40975.22,45748.5,67497.44,56486.99,39916.81,,43225.03,34779.4,64159.76,45389.18,158764.64,,,,,,,,,,,,,
E016,ET,42872.74,32686.33,38366.96,29159.23,24201.57,36206.68,27628.29,23289.15,83028.44,33676.44,114304.05,126105.66,,,,,,,,,,,,
E016,IS,14650.05,12319.52,13908.76,17738.17,9463.71,,9983.44,9142.41,10843.82,11330.51,32071.29,38963.8,32524.24,,,,37074.88,,,,,,,
E016,IM,,137125,,128687.5,125181.14,,98114.62,114251.81,,144216.26,180628.36,,,,,,,,,,,,,
E016,ME,162702.96,166535.94,,125926.02,146711.3,,159561.78,123231.14,156952.1,127882,172646.14,,153145.52,,,,,,,,,,,
E016,CA,,13750.06,,22378.06,11961.14,,11372.92,10901.1,,15422.66,32141.24,,33973.76,,25163.14,,,,,,,,,
E017,CV,,,,,,,,182396.4,,,,,,,,,,,,,,,,
E017,CS,36040.66,38701.93,43033.97,31327.03,29422.78,,35418.54,28602.97,34547.51,36776.94,62319.04,74183.74,57309.48,,54537.44,72245.9,,,,,,,,
E017,EC,67539.04,72344.63,,60406.32,55446.15,,55299.05,51953.38,68915.02,60545.42,125123.39,135314.96,107881.26,,,,,94031.46,,,,,,
E017,EE,,,,,,,,192195.38,,,,,,,,,,,,,,,,
E017,ET,,,,,,,,108561.23,,,,,,,,,,,,,,,,
E017,IS,53301.51,58090.82,72509.93,55642.69,48752.64,,41327.72,38340.5,46539.93,47471.37,80171.49,93639.52,90741.8,,,121457.08,,60936.92,135237.12,,,,,
E017,MD,,,,,,,,150888.66,,,,,,,,,,,,,,,,
E017,ME,,,,,,,,184882.23,,,,,,,,,,,,,,,,
E017,AI,,55700.28,,48111.34,,,45416.44,40473.68,50447,,108945.26,,69291.32,,,,,,,,,,,
E017,DS,,54912.26,,,,,,47025.84,,51824.78,98305.26,,94717.24,,,,,,,,,,,
E018,CV,,,,,,,,183299.2,,,,,,,,,,,,,,,,
E018,CS,62463.06,74206.18,100610.59,64535.3,68805.9,,58868.35,53473.22,72442.36,61339.12,121378.02,,129515.55,183062.78,,,91685.42,73529.08,,,,,,
E018,EC,,147615.24,,,134222.54,,125433.37,112146.78,129378.34,140523.64,176155.27,,178437.15,,,,,,,,,,,
E018,IS,109161.7,94602.32,,75945.36,81511.43,,66376.19,65220.76,,88713.05,107665.15,,116558.68,,,,,,,115621.38,,,,
E018,ME,,,,,,,,187166.36,,,,,,,,,,,,,,,,
E021,CV,63831.34,88548.82,,116059.95,59850.52,,76442.47,55767.89,86224.28,68386.37,100501.66,137786.34,117630.63,,,,,,,,,,,
E021,CS,4905.22,4669.56,6254.06,6433.86,2274.94,,2847.93,2018.51,2929.4,3894.01,10402.88,16024.01,5525.09,,6464.6,,,5475.5,,,,,,
